fund,matched_fund,fund_confidence,form_d_firm_id,form_d_funds,cik_no_fund,form_adv_firm_id,form_adv_funds,crd_no_fund,firm_id
Tur Fund I A Series Of Dv Deals,Des Fund I A Series Of Mv Funds,0.8232278296892013,46793,Tur Fund I A Series Of Dv Deals,1770466.0,54213,Des Fund I A Series Of Mv Funds,311231,
Blend Systems,Systematica Synergy Fund,0.9585912911946428,34192,Blend Systems,1560253.0,17862,Systematica Synergy Fund,289336,
Donald Smith Futures Fund,Donald Smith Futures Fund,0.0,34409,Donald Smith Futures Fund,1569042.0,13133,Donald Smith Futures Fund,104947,8087.0
Tetris Topco,Paxia Topco,0.9398050615505964,149428,Tetris Topco,1915749.0,51703,Paxia Topco,307203,
Digital Power,Corner Digital,0.9766450322632038,27155,Digital Power,896493.0,59006,Corner Digital,317086,
Avotres,Avon Venture Fund I,0.9003834135781364,104778,Avotres,1841331.0,11998,Avon Venture Fund I,168741,13596.0
Honeycomb Offshore Fund,,0.9999999999999999,38212,Honeycomb Offshore Fund,1676709.0,53912,,310188,
Sr Realty Trust,Winter City Trust,0.957864160966522,36111,Sr Realty Trust,1621522.0,41231,Winter City Trust,169793,
Rock Canyon Fund,,1.0,55497,Rock Canyon Fund,1682226.0,53912,,310188,
Fwcg Diversified Alternative Income Fund,Ag Diversified Income Master Fund,0.7998775108058397,37806,Fwcg Diversified Alternative Income Fund,1669333.0,11617,Ag Diversified Income Master Fund,131940,168.0
Ategra Ls,,0.9999999999999999,57626,Ategra Ls,1752010.0,53912,,310188,
Apellis Pharmaceuticals,,1.0,32555,Apellis Pharmaceuticals,1492422.0,53912,,310188,
Knightsbridge Orbit,,0.9999999999999999,97062,Knightsbridge Orbit,1832338.0,53912,,310188,
Frontier Mid Cap Growth Fund Limited Partnership,Eqt Mid Market Limited Partnership,0.916490868641734,67831,Frontier Mid Cap Growth Fund Limited Partnership,1119766.0,2439,Eqt Mid Market Limited Partnership,160716,
Healthprize Technologies,,0.9999999999999998,97148,Healthprize Technologies,1484768.0,53912,,310188,
Hedgeforum Caxton,,0.9999999999999999,108349,Hedgeforum Caxton,1526900.0,53912,,310188,
Warren Cayman,Starr Cayman Investment Fund,0.8158388100807805,110762,Warren Cayman,1860038.0,9552,Starr Cayman Investment Fund,161503,
Partners Capital Falcon Fund A,Beacon Capital Partners,0.8489716066901177,32576,Partners Capital Falcon Fund A,1493437.0,58987,Beacon Capital Partners,318693,
Net Venture, Ventures,0.7248681228749112,37340,Net Venture,1657169.0,60788, Ventures,322559,
Impactive Bangor Fund,,0.9999999999999999,148219,Impactive Bangor Fund,1912629.0,53912,,310188,
Tectonic Mgmt,,1.0,87836,Tectonic Mgmt,1820038.0,53912,,310188,
Signet Ec Midtown Investment Ii,Mig Middletown Invest,0.9668113929150243,122615,Signet Ec Midtown Investment Ii,1877773.0,56964,Mig Middletown Invest,315219,
 Funding,Lending Capital Fund,0.942276588778499,41783, Funding,1735211.0,6409,Lending Capital Fund,122268,
Gusto Global,,1.0,40848,Gusto Global,1725023.0,53912,,310188,
Relativity,,0.9999999999999998,38508,Relativity,1682919.0,53912,,310188,
Angler Labs,,1.0,69245,Angler Labs,1677350.0,53912,,310188,
  Crossman Reit,Wasserstein Cosmos Invest,0.9740367026382246,144467,  Crossman Reit,1908259.0,14693,Wasserstein Cosmos Invest,160339,
Mount Olympus Capital,,0.9999999999999999,161858,Mount Olympus Capital,1934802.0,53912,,310188,
Aqr Delta Xn Fund,,1.0,34595,Aqr Delta Xn Fund,1574323.0,53912,,310188,
Full Measure Education,,1.0,121480,Full Measure Education,1869307.0,53912,,310188,
Cellynx Group,,1.0,22462,Cellynx Group,1067286.0,53912,,310188,
Scout Energy Partners Vi A,Ag Energy Partners,0.8160469892147962,177118,Scout Energy Partners Vi A,1956729.0,11617,Ag Energy Partners,131940,168.0
Boston Common Small Cap Social Fund,Sit Small Cap Fund,0.9681870915514963,57869,Boston Common Small Cap Social Fund,1387699.0,6043,Sit Small Cap Fund,108271,
Hourly A Series Of J Ventures Master,J Ventures Plato Series A,0.937615309711145,109287,Hourly A Series Of J Ventures Master,1856400.0,60020,J Ventures Plato Series A,317140,
Kl Fund I A Series Of Roll Up Vehicles,,1.0,180215,Kl Fund I A Series Of Roll Up Vehicles,1963077.0,53912,,310188,
North Haven Credit Partners Iii Offshore Feeder,Broad Street Senior Credit Partners Offshore,0.916389881750117,49853,North Haven Credit Partners Iii Offshore Feeder,1776018.0,5463,Broad Street Senior Credit Partners Offshore,361,7869.0
Caz Equity Income Fund,,1.0,33793,Caz Equity Income Fund,1546096.0,53912,,310188,
Clark Capital Affordable Housing Income Fund,Ls Affordable Housing Opportunity Fund,0.8118395791461503,94645,Clark Capital Affordable Housing Income Fund,1812370.0,54587,Ls Affordable Housing Opportunity Fund,310814,
Varuna Tech,,1.0,92329,Varuna Tech,1825364.0,53912,,310188,
  Logistics Center,Mg I  Logistics Investors,0.8800885505878747,96163,  Logistics Center,1834322.0,60764,Mg I  Logistics Investors,322399,
Vbi Partnership,General Partnership,0.8264301413146805,135727,Vbi Partnership,1898813.0,60026,General Partnership,321178,
Meesho Black Cod A Series Of Good Capital Partners Master,,1.0,126948,Meesho Black Cod A Series Of Good Capital Partners Master,1882393.0,53912,,310188,
Gresham Djf Commoditybuilder Fund,Denham Commodity Partners Fund Iv,0.9655319774107435,33337,Gresham Djf Commoditybuilder Fund,1526717.0,10144,Denham Commodity Partners Fund Iv,156605,
Ascent Solar Technologies,Disruptive Technology Solutions Biotechnology,0.8912028361841895,30189,Ascent Solar Technologies,1350102.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Addie Mlp Fund,,0.9999999999999999,72541,Addie Mlp Fund,1666489.0,53912,,310188,
Kalo Industries,,0.9999999999999999,61241,Kalo Industries,1678307.0,53912,,310188,
Azt Gaingels Fund I A Series Of Angellist Gp Funds I, Fund I A Series Of Angellist Funds,0.6913180126620948,118137,Azt Gaingels Fund I A Series Of Angellist Gp Funds I,1871954.0,8051, Fund I A Series Of Angellist Funds,167700,
Eagle Rock Fund I,Eagle Capital Series Fund,0.9193995268785866,157979,Eagle Rock Fund I,1928949.0,5880,Eagle Capital Series Fund,163771,3292.0
Hello Career Guru,,1.0,82747,Hello Career Guru,1812165.0,53912,,310188,
Entrustpermal Special Opportunities Evergreen Fund,Entrustpermal Special Opportunities Evergreen Fund,0.0,72174,Entrustpermal Special Opportunities Evergreen Fund,1763984.0,9350,Entrustpermal Special Opportunities Evergreen Fund,107940,12422.0
Si Bella Madera,,0.9999999999999998,59418,Si Bella Madera,1789034.0,53912,,310188,
Polysign,,1.0,84000,Polysign,1722286.0,53912,,310188,
Field Pocket,,1.0,148327,Field Pocket,1894094.0,53912,,310188,
Pine Street Associates,Point Associates,0.8511466286839836,73629,Pine Street Associates,917199.0,9758,Point Associates,160328,75584.0
Union Lake Trace Partners,Marked Tree Partners,0.9935627113009672,64910,Union Lake Trace Partners,1746259.0,54621,Marked Tree Partners,300721,
Re Fund I A Series Of Chris Golda Investments,Re Fund I A Series Of Chris Golda Investments,0.0,82114,Re Fund I A Series Of Chris Golda Investments,1811315.0,50135,Re Fund I A Series Of Chris Golda Investments,304833,
Bayberry Onshore Fund,,1.0,47474,Bayberry Onshore Fund,1771744.0,53912,,310188,
Anebulo Pharmaceuticals,,1.0,85079,Anebulo Pharmaceuticals,1815974.0,53912,,310188,
Westfield Fund,,1.0,77319,Westfield Fund,1721519.0,53912,,310188,
Force Hill Partners,,0.9999999999999999,77220,Force Hill Partners,1803632.0,53912,,310188,
Inland Capital Fund, Capital Fund I,0.7683306343287837,40118,Inland Capital Fund,1712364.0,48944, Capital Fund I,300538,
Tencore Ii Partners,Teton Venture Partners I,0.9234319838422639,68461,Tencore Ii Partners,1762100.0,7317,Teton Venture Partners I,138111,2377.0
Energous,,0.9999999999999999,34650,Energous,1575793.0,53912,,310188,
Larus Brazil Fund,Western Asset Brazil Bond Master Fund,0.902475900960535,87523,Larus Brazil Fund,1816022.0,12529,Western Asset Brazil Bond Master Fund,110441,3384.0
Histogen,,1.0,58950,Histogen,1645829.0,53912,,310188,
Salesjob Academy,Lend Academy Pp Fund,0.9678474725261189,68733,Salesjob Academy,1797270.0,5531,Lend Academy Pp Fund,169878,
Nationwide Private Placement Variable Account,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.9924004445150949,28687,Nationwide Private Placement Variable Account,1135856.0,7609,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,105676,245.0
Capital Rx, Capital Fund I,0.7105545933296005,53515,Capital Rx,1782959.0,48944, Capital Fund I,300538,
Optima Discretionary Macro Fund,The Optima Discretionary Macro Fund,0.3476219958210504,66329,Optima Discretionary Macro Fund,1509531.0,48753,The Optima Discretionary Macro Fund,299826,142549.0
Usedc  Auxiliary Fund,,0.9999999999999998,139044,Usedc  Auxiliary Fund,1903407.0,53912,,310188,
Calvion Capital Fund, Capital Fund I,0.8463240429744074,62502,Calvion Capital Fund,1756537.0,48944, Capital Fund I,300538,
Tamarack Global Healthcare Fund,Panacea Venture Healthcare Fund Ii,0.9260596890532167,133542,Tamarack Global Healthcare Fund,1395296.0,52269,Panacea Venture Healthcare Fund Ii,308297,
Rs Wl Investor,,1.0,74204,Rs Wl Investor,1801801.0,53912,,310188,
Lynx Ebo Offshore Fund Ia Sp,,0.9999999999999997,106819,Lynx Ebo Offshore Fund Ia Sp,1850518.0,53912,,310188,
Consumer Metrics,,0.9999999999999998,31193,Consumer Metrics,1423564.0,53912,,310188,
Rh Studio Opco ,,1.0,113115,Rh Studio Opco ,1864452.0,53912,,310188,
Rosen Hedged Index Fund,,0.9999999999999998,38556,Rosen Hedged Index Fund,1684297.0,53912,,310188,
Two Hats Capital A,,1.0,86393,Two Hats Capital A,1818292.0,53912,,310188,
Canyon Balanced Asp Fund A Series Of Alternative Strategies Platform,Capital Group Alternative Strategies Master Fund,0.9669122931377133,72533,Canyon Balanced Asp Fund A Series Of Alternative Strategies Platform,1633003.0,790,Capital Group Alternative Strategies Master Fund,170017,10985.0
Great Miami Brewing,,0.9999999999999999,167739,Great Miami Brewing,1943385.0,53912,,310188,
Wellspring Opportunistic Credit Fund,Wellspring Opportunistic Credit Master Fund,0.3408462475851204,36837,Wellspring Opportunistic Credit Fund,1643240.0,10797,Wellspring Opportunistic Credit Master Fund,160617,
Curate Solutions,Generation Im Climate Solutions Fund Us,0.9042633037578188,40772,Curate Solutions,1723651.0,10956,Generation Im Climate Solutions Fund Us,132728,
University Of Phoenix,Poc Phoenix,0.8144910761482638,40013,University Of Phoenix,1710794.0,60001,Poc Phoenix,318765,
Oakhurst Real Estate Fund Xiv,,1.0,60926,Oakhurst Real Estate Fund Xiv,1790240.0,53912,,310188,
Freg Barrett Holdings,Rise Capital Fresh Holdings,0.9960056793921022,115115,Freg Barrett Holdings,1864162.0,36045,Rise Capital Fresh Holdings,170381,
Setpoint Medical,,1.0,58772,Setpoint Medical,1464331.0,53912,,310188,
Pharmajet,,1.0,74962,Pharmajet,1475017.0,53912,,310188,
Jsov Ii Fifs,,1.0,96327,Jsov Ii Fifs,1834749.0,53912,,310188,
Aeye,,0.9999999999999999,77957,Aeye,1590825.0,53912,,310188,
Tivoli At Vintage Park,,1.0,81391,Tivoli At Vintage Park,1683678.0,53912,,310188,
Starwood Distressed Opportunity Fund Xii Global,,0.9999999999999998,90768,Starwood Distressed Opportunity Fund Xii Global,1822666.0,53912,,310188,
Gulfstream Value Fund,,1.0,35735,Gulfstream Value Fund,1610456.0,53912,,310188,
None,,0.9999999999999999,29033,None,1192496.0,53912,,310188,
River Oaks Financial Fund,Rivernorth Specialty Finance,0.9914314226645338,54533,River Oaks Financial Fund,1214701.0,591,Rivernorth Specialty Finance,122020,3371.0
Woolpert Topco,,0.9999999999999999,107612,Woolpert Topco,1850402.0,53912,,310188,
Tela Bio,,1.0,34237,Tela Bio,1561921.0,53912,,310188,
Hp Sunbelt I,,1.0,137372,Hp Sunbelt I,1900915.0,53912,,310188,
Onepointtwo Investments,Wing One Investments,0.9954842680443129,169216,Onepointtwo Investments,1945975.0,8624,Wing One Investments,168461,
Lm Beltline Center,,1.0,58729,Lm Beltline Center,1788127.0,53912,,310188,
Nhit: Multisector Full Discretion Trust,,0.9999999999999998,31350,Nhit: Multisector Full Discretion Trust,1433432.0,53912,,310188,
Doculife Global,,0.9999999999999999,39891,Doculife Global,1709377.0,53912,,310188,
Pangea Fund I,Pangea Fund I,0.0,147072,Pangea Fund I,1911422.0,60827,Pangea Fund I,319424,
Varde Credit Partners Offshore,Broad Street Senior Credit Partners Offshore,0.842418327760545,34317,Varde Credit Partners Offshore,1565562.0,5463,Broad Street Senior Credit Partners Offshore,361,7869.0
Carlyle Net Lease Income Parallel,,0.9999999999999999,141841,Carlyle Net Lease Income Parallel,1907435.0,53912,,310188,
Main Street Data,,1.0,42081,Main Street Data,1737960.0,53912,,310188,
New Jersey Mining,,1.0,22238,New Jersey Mining,1030192.0,53912,,310188,
Neptune Topco Holdings,,1.0,104447,Neptune Topco Holdings,1846636.0,53912,,310188,
Callais Capital Ventures Ii,Differential Venture Capital Fund Ii,0.8889466373250198,60119,Callais Capital Ventures Ii,1784671.0,29573,Differential Venture Capital Fund Ii,292813,
Moderne Ventures Core Fund Ii,Rodeo Venture Fund I,0.8986254132151998,79143,Moderne Ventures Core Fund Ii,1792098.0,46385,Rodeo Venture Fund I,296963,
Quilo Technologies,Disruptive Technology Solutions Biotechnology,0.9157435737537079,92658,Quilo Technologies,1828159.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Morrison Street Income Fund,Montgomery Street Fund,0.9547713022261002,139123,Morrison Street Income Fund,1900943.0,4873,Montgomery Street Fund,110687,601.0
Gam Institutional Diversity,Gam Institutional Diversity,0.0,30514,Gam Institutional Diversity,1375819.0,6621,Gam Institutional Diversity,110670,142393.0
 St Helens Apartments,,0.9999999999999999,71785, St Helens Apartments,1799911.0,53912,,310188,
Cardiff Oncology,,1.0,29120,Cardiff Oncology,1213037.0,53912,,310188,
Xcite Interactive,,0.9999999999999999,47834,Xcite Interactive,1772401.0,53912,,310188,
Nara Capital Fund Offshore,Gs Capital Partners  Offshore,0.8445922850428793,39120,Nara Capital Fund Offshore,1698595.0,5463,Gs Capital Partners  Offshore,361,7869.0
Lazard Emerging Income,,1.0,29749,Lazard Emerging Income,1305557.0,53912,,310188,
Edge Capital Real Estate Fund,Growth Capital Real Estate,0.8266818470635455,106136,Edge Capital Real Estate Fund,1850125.0,7942,Growth Capital Real Estate,104953,5625.0
Jc Medical Holdings,Coin Capital Holdings,0.900924180183836,171361,Jc Medical Holdings,1947335.0,45749,Coin Capital Holdings,289961,
Arrowstreet International Equity Acwi Ex Us Fund A Sub Fund Of Arrowstreet Us Group Trust,,1.0,34579,Arrowstreet International Equity Acwi Ex Us Fund A Sub Fund Of Arrowstreet Us Group Trust,1573981.0,53912,,310188,
Rigup,,1.0,60261,Rigup,1609236.0,53912,,310188,
Metlife Investment Private Equity Partners,Private Equity Partners  Direct Investment Fund,0.8059536534844307,148141,Metlife Investment Private Equity Partners,1913496.0,3615,Private Equity Partners  Direct Investment Fund,107738,259.0
Wells Fargo High Yield Bond Fund,Wells Fargo Lux Worldwide Fund Us High Yield Bond Fund,0.6462064337509124,33068,Wells Fargo High Yield Bond Fund,1516889.0,7329,Wells Fargo Lux Worldwide Fund Us High Yield Bond Fund,104973,135305.0
Bluemountain Global Volatility Fund,,0.9999999999999999,33845,Bluemountain Global Volatility Fund,1547895.0,53912,,310188,
Jpmorgan Global Access Portfolio,Global Access Fund Ii,0.9155608721347882,31063,Jpmorgan Global Access Portfolio,1415522.0,8120,Global Access Fund Ii,168417,
Emerald Pharms Resource Center,,0.9999999999999998,44171,Emerald Pharms Resource Center,1763369.0,53912,,310188,
Gtmfund Qp B,,1.0,175120,Gtmfund Qp B,1948566.0,53912,,310188,
Atx Venture Partners Iv B,Athenian Venture Partners Ii,0.8954379114090337,130849,Atx Venture Partners Iv B,1885123.0,2955,Athenian Venture Partners Ii,163764,
White Oak Partners,,0.9999999999999999,59590,White Oak Partners,1613486.0,53912,,310188,
Offline Venture Funds A,Venture ,0.9433970142885244,87125,Offline Venture Funds A,1819461.0,10760,Venture ,107584,3412.0
Philadelphia Financial Life Assurance Separate Account Va ,,0.9999999999999998,35431,Philadelphia Financial Life Assurance Separate Account Va ,1602211.0,53912,,310188,
Pnc Podiatry Holdings,Coin Capital Holdings,0.9986712333225595,149817,Pnc Podiatry Holdings,1913472.0,45749,Coin Capital Holdings,289961,
Nisqually Landing,,1.0000000000000002,113226,Nisqually Landing,1864177.0,53912,,310188,
North Carolina Title Center,,0.9999999999999999,74591,North Carolina Title Center,1330633.0,53912,,310188,
Sarofim Mf Fund Holding,,1.0,175709,Sarofim Mf Fund Holding,1955279.0,53912,,310188,
Jadian Real Estate Fund I Pov,Banyan Real Estate Fund,0.9701251169229144,42383,Jadian Real Estate Fund I Pov,1740792.0,14212,Banyan Real Estate Fund,163461,
Light Street Spv,,1.0,49816,Light Street Spv,1775937.0,53912,,310188,
Telligent Greater China Fund,Oasis Petrel Greater China Fund,0.9170986858275957,59191,Telligent Greater China Fund,1470723.0,29787,Oasis Petrel Greater China Fund,167452,4817.0
Bioventrix,,1.0,29522,Bioventrix,1283259.0,53912,,310188,
Scopus Partners Ii,,1.0,67137,Scopus Partners Ii,1509750.0,53912,,310188,
Paperstac,,0.9999999999999999,147739,Paperstac,1912620.0,53912,,310188,
Mcw Energy Group,,1.0,34221,Mcw Energy Group,1561180.0,53912,,310188,
Nanochon,,1.0,128488,Nanochon,1885962.0,53912,,310188,
Avpt,,1.0,65792,Avpt,1794322.0,53912,,310188,
Midland States Bancorp,,0.9999999999999998,32057,Midland States Bancorp,1466026.0,53912,,310188,
Indiggo Associates,Point Associates,0.9341369433800811,67015,Indiggo Associates,1578644.0,9758,Point Associates,160328,75584.0
Dchained Capital Ar Fund, Capital Fund I,0.9578423422096214,123038,Dchained Capital Ar Fund,1879084.0,48944, Capital Fund I,300538,
Kintent,,1.0,114340,Kintent,1855106.0,53912,,310188,
Discovery Property,Gms Discovery Fund,0.8976731542703618,39455,Discovery Property,1703064.0,3615,Gms Discovery Fund,107738,259.0
Quartzy,,1.0,67442,Quartzy,1579981.0,53912,,310188,
Fortress Terminator,,1.0,35709,Fortress Terminator,1609659.0,53912,,310188,
Fabforedev,,1.0,40798,Fabforedev,1724131.0,53912,,310188,
Penzance Dc Real Estate Fund Ii,,0.9999999999999999,76813,Penzance Dc Real Estate Fund Ii,1801988.0,53912,,310188,
Pinnacle Mutual,,1.0,93630,Pinnacle Mutual,1829210.0,53912,,310188,
Iiot Oxys,,1.0,23670,Iiot Oxys,1290658.0,53912,,310188,
Techu Angels Venture Partners Series V,Teton Venture Partners I,0.9436830899958112,73784,Techu Angels Venture Partners Series V,1801518.0,7317,Teton Venture Partners I,138111,2377.0
Tri Isthmus Group,,1.0,22070,Tri Isthmus Group,1003226.0,53912,,310188,
Westside Petwell,,1.0,86430,Westside Petwell,1816184.0,53912,,310188,
Goldtinum Holdings,Coin Capital Holdings,0.9711841308867458,112326,Goldtinum Holdings,1862980.0,45749,Coin Capital Holdings,289961,
Northern Trace Cav Offshore,,0.9999999999999999,127000,Northern Trace Cav Offshore,1885195.0,53912,,310188,
Kyber Crypto Holdings,,1.0,164933,Kyber Crypto Holdings,1939818.0,53912,,310188,
Sc India Principals Growth Fund Iii,Pfm Thematic Growth Principals Fund,0.8741676759324257,89139,Sc India Principals Growth Fund Iii,1821805.0,11832,Pfm Thematic Growth Principals Fund,146747,3278.0
Vwr Capital, Capital Fund I,0.9601237812897538,35157,Vwr Capital,1593879.0,48944, Capital Fund I,300538,
Next Wave Residential Partners Viii,,1.0,74205,Next Wave Residential Partners Viii,1801818.0,53912,,310188,
Xe Fund I A Series Of Nexus Labs Venture,Fund I A Series Of Sancus Ventures,0.9331577775078016,173911,Xe Fund I A Series Of Nexus Labs Venture,1953455.0,60797,Fund I A Series Of Sancus Ventures,321680,
Peak Offshore Master Fund,Great Jones Offshore Master Fund,0.8672280723159053,29506,Peak Offshore Master Fund,1280666.0,10562,Great Jones Offshore Master Fund,168496,4685.0
Emerging Markets Free Fund,Emerging Markets Equity Fund,0.7317870823084333,68172,Emerging Markets Free Fund,1593877.0,790,Emerging Markets Equity Fund,170017,10985.0
Nineteen Global Multi Strategy Alpha,Global Alpha,0.8947756425453319,30880,Nineteen Global Multi Strategy Alpha,1403975.0,47148,Global Alpha,297457,
Voce Catalyst Partners,,0.9999999999999998,61902,Voce Catalyst Partners,1655283.0,53912,,310188,
Zynga Game Network,Ethiopia Angel Network,0.9499727103438328,31460,Zynga Game Network,1439404.0,48734,Ethiopia Angel Network,297545,151060.0
Midtown Doctors Building,,1.0000000000000002,60887,Midtown Doctors Building,1789096.0,53912,,310188,
Gyantcom,,1.0,42610,Gyantcom,1743239.0,53912,,310188,
Cf Pillar Partners,,1.0,56817,Cf Pillar Partners,1751427.0,53912,,310188,
Truebridge Select Fund I,Pinebridge Senior Secured Loan Fund,0.9739478645684623,94801,Truebridge Select Fund I,1831884.0,4651,Pinebridge Senior Secured Loan Fund,105926,12717.0
Excelsior  College Blvd Civ,,1.0,91032,Excelsior  College Blvd Civ,1825866.0,53912,,310188,
Pcm Partners L P Ii,,0.9999999999999999,29011,Pcm Partners L P Ii,1185182.0,53912,,310188,
Proof Technology,Disruptive Technology Solutions Biotechnology,0.8449055450555236,40729,Proof Technology,1722907.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Valueact Capital Partners,Beacon Capital Partners,0.8172600171190478,66175,Valueact Capital Partners,1130743.0,58987,Beacon Capital Partners,318693,
Tribe Capital Ii Series ,Liberation Capital Desalitech,0.9857360482908255,73194,Tribe Capital Ii Series ,1800150.0,16565,Liberation Capital Desalitech,163524,
Blackstone Topaz Fund,,1.0,31094,Blackstone Topaz Fund,1416883.0,53912,,310188,
Nb Specialty Finance Fund,Rivernorth Specialty Finance,0.7752211282365393,55718,Nb Specialty Finance Fund,1758608.0,591,Rivernorth Specialty Finance,122020,3371.0
Bek Fund I A Series Of Ax Wies Funds I,Des Fund I A Series Of Mv Funds,0.872464335057623,63250,Bek Fund I A Series Of Ax Wies Funds I,1792198.0,54213,Des Fund I A Series Of Mv Funds,311231,
A To B Capital Special Situations Fund,Balmoral Special Situations Fund Iv,0.8389467106257219,72705,A To B Capital Special Situations Fund,1456866.0,6788,Balmoral Special Situations Fund Iv,164956,
